path_test,test_name,path_src,class_name,assertion_roulette,no_assertions,readability,cbo,wmc,rfc,nosi,loc,line_coverage,mutation_score,assertion_density,HALSTEAD,MPC,loc_production
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java,org.apache.commons.lang3.RandomStringUtilsTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/RandomStringUtils.java,org.apache.commons.lang3.RandomStringUtils,False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,org.apache.commons.lang3.RandomUtilsTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java,org.apache.commons.lang3.RandomUtils,False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/StringUtilsTest.java,org.apache.commons.lang3.StringUtilsTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/StringUtils.java,org.apache.commons.lang3.StringUtils,True,17,0.8797175288200378,2,1,3,18,22,0.02,0.02,0.7727272727272727,101.63333397932176,3,2822
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,org.apache.commons.lang3.ArrayUtilsTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,True,2,0.6442707777023315,3,1,2,2,11,0.01,0.01,0.18181818181818185,64.33122377661044,2,3417
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/reflect/TypeLiteralTest.java,org.apache.commons.lang3.reflect.TypeLiteralTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/reflect/TypeLiteral.java,org.apache.commons.lang3.reflect.TypeLiteral,True,2,0.17227691411972046,4,1,5,3,12,0.75,0.44,0.16666666666666666,70.55786926738185,4,28
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/math/FractionTest.java,org.apache.commons.lang3.math.FractionTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/math/Fraction.java,org.apache.commons.lang3.math.Fraction,True,10,0.475728690624237,2,1,8,4,23,0.12,0.04,0.43478260869565216,21.581057455185338,0,410
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java,org.apache.commons.lang3.time.FastDateParserTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/time/FastDateParser.java,org.apache.commons.lang3.time.FastDateParser,True,2,0.5184031724929811,2,1,6,2,8,0.65,0.26,0.25,62.937136106396636,5,544
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/concurrent/MemoizerTest.java,org.apache.commons.lang3.concurrent.MemoizerTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/concurrent/Memoizer.java,org.apache.commons.lang3.concurrent.Memoizer,True,2,0.6334998309612274,4,2,7,0,15,0.86,0.89,0.13333333333333333,60.611324939756535,1,49
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaperTest.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,True,3,0.8060387372970581,3,1,4,0,17,0.95,0.81,0.17647058823529413,21.581057455185338,0,65
/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/test/java/org/apache/commons/lang3/builder/CompareToBuilderTest.java,org.apache.commons.lang3.builder.CompareToBuilderTest,/Users/grano/Desktop/dataset-icsme-20/projects/commons-lang/src/main/java/org/apache/commons/lang3/builder/CompareToBuilder.java,org.apache.commons.lang3.builder.CompareToBuilder,True,6,0.3706259429454804,3,7,4,0,23,0.16,0.15,0.2608695652173913,280.827001064532,4,411
