Response ID,Date submitted,Last page,Start language,Seed,"In addition to analyzing your data in an anonymous form, can we also share your answers (in an anonymous form) in a publicly available dataset?  By choosing ""Yes"", your answers and efforts will also serve other researchers and the public. ","In your opinion, what are the features (characteristics) of a high-quality unit test?  [A high-quality unit test should be/have ... ]","In your opinion, what are the features (characteristics) of a high-quality unit test?  []","In your opinion, what are the features (characteristics) of a high-quality unit test?  [].1","In your opinion, what are the features (characteristics) of a high-quality unit test?  [].2","In your opinion, what are the features (characteristics) of a high-quality unit test?  [].3","In your opinion, what are the features (characteristics) of a high-quality unit test?  [].4",How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ001}],How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ002}],How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ003}],How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ004}],How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ005}],How important is each feature you named to determine that a unit test is high-quality?  [{factors_SQ006}],"You mentioned the feature {factors_SQ001}, do you measure this feature in the software project you work on the most? ",How do you measure feature {factors_SQ001} in that software project?,"You mentioned the feature {factors_SQ002}, do you measure this feature in the software project you work on the most? ",How do you measure feature {factors_SQ002} in that software project? ,"You mentioned the feature {factors_SQ003}, do you measure this feature in the software project you work on the most?",How do you measure feature {factors_SQ003} in that software project?,"You mentioned the feature {factors_SQ004}, do you measure this feature in the software project you work on the most?",How do you measure feature {factors_SQ004} in that software project?,"You mentioned the feature {factors_SQ005}, do you measure this feature in the software project you work on the most?",How do you measure feature {factors_SQ005} in that software project?,"You mentioned the feature {factors_SQ006}, do you measure this feature in the software project you work on the most?",How do you measure feature {factors_SQ006} in that software project?,"So far, you have named the features that define a high-quality unit test. In the last part of this survey, we ask you to consider those features to rate unit tests.  You will be presented with three randomly chosen unit tests and will be asked to rate the quality of the given unit test (1) overall and (2) with respect to the features you previously mentioned.     The following 3 pages are structured as follows:  You will be presented two code snippets per page: On the left side a unit test, and on the right side the corresponding class under test, which may help you in your judgement. Additionally, you will also be given test metrics such as mutation and line coverage below the code snippets. To rate the test cases, you will see two matrices on the bottom of the page: One to rate the overall quality of the given unit test, and one for the rating according to the features you named before.     All the code snippets used in this survey are from the Java open source project apache/commons-lang. ","{sum(R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}],Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}],Rating 1,"{sum(R1.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].1,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].1,Rating 2,"{sum(R1.relevanceStatus, R2.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].2,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].2,Rating 3,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus,R8.relevanceStatus,R9.relevanceStatus,R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].3,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].3,Rating 4,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].4,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].4,Rating 5,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].5,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].5,Rating 6,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].6,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].6,Rating 7,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R9.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].7,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].7,Rating 8,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R10.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].8,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].8,Rating 9,"{sum(R1.relevanceStatus, R2.relevanceStatus, R3.relevanceStatus, R4.relevanceStatus, R5.relevanceStatus, R6.relevanceStatus, R7.relevanceStatus, R8.relevanceStatus, R9.relevanceStatus)}",Rate the overall quality of this unit test: [I rate the overall quality of this unit test as ...].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ001.shown}].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ002.shown}].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ003.shown}].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ004.shown}].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ005.shown}].9,Rate the quality of this unit test according to the features you mentioned:  [{factors_SQ006.shown}].9,Rating 10,"Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test code is readable]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test code is maintainable]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test has correct input-output pairs]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test is able to find faults]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test is not flaky*]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test has good code design]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The unit test withstands in the long run]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [Parts of the unit test are reusable]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test code has low complexity]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test code has good mutation coverage]","Listed below are the features that developers who we interviewed mentioned as relevant for high-quality unit tests.  In your opinion, how important is each of the following features to determine that a unit test is high-quality?  (Apologies if you previously named any of the features listed below)  [The test code has short execution time]",Gender: What is your gender?,Education: What is the highest degree or level of school you have completed? ,Education: What is the highest degree or level of school you have completed?  [Other],Employment: What is your current employment status? [Student],Employment: What is your current employment status? [Researcher],Employment: What is your current employment status? [Professional Developer (paid)],Employment: What is your current employment status? [Professional Developer (voluntary)],Employment: What is your current employment status? [Other],Your experience as a professional developer:,What is your current role in your company/organization?,What's the size of the team you currently work with?,How many days ago was the last time you wrote a unit test?,"Is there anything that you would like to add about the topic, survey, and/or research?","Thank you very much for your contribution!  By completing this survey, you have a chance to win a 100 € Amazon gift card. The winner will be randomly selected at the end of the study. For that, please leave your email down below so that I can contact you in case you are the lucky winner. "
15,1980-01-01 00:00:00,24,en,536296554.0,Yes,concise,clear,reproducible,fast,independent,with purpose,very,extremely important,extremely important,moderately,extremely important,extremely important,Yes,"Some tests try to test multiple things at once and become large, for the sake of removing duplication. It is better to split these into multiple small tests.",Yes,Reading a new test does not provide surprises. It is apparent at a glance how the test works.,Yes,"Running tests produce reliable and reproducible results. If the test fails it is known why, same if the test passes.",Yes,Execution time.,Yes,Running one test is the same as running multiple tests. There is no cross-talk between them.,Yes,"Why the test is there is apparent. The test serves a purpose, correlated with software requirements.",,2,very poor,very poor,very poor,not applicable,not applicable,not applicable,very poor,,0,poor,very good,poor,not applicable,not applicable,very good,poor,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,poor,fair,fair,not applicable,not applicable,very good,very poor,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,extremely important,extremely important,slightly,slightly,extremely important,moderately,I do not know,not at all important,extremely important,I do not know,very,Male,Bachelor´s degree,,No,No,Yes,No,,9.0,Backend developer,5,2.0,,anonymized
16,1980-01-01 00:00:00,24,en,90717100.0,Yes,clear,documented,comprehensive,test corner cases,,,extremely important,extremely important,very,very,,,Yes,"Eyes, mostly",No,,,,No,,,,,,,2,fair,good,fair,good,fair,,,,3,,,,,,,,,0,very poor,poor,very poor,good,fair,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,poor,very good,poor,poor,poor,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,extremely important,very,moderately,very,moderately,very,moderately,very,moderately,moderately,slightly,Male,High school degree or equivalent,,Yes,No,Yes,No,,6.0,Backend Lead,4,15.0,"No, thank you",anonymized
19,1980-01-01 00:00:00,24,en,829850476.0,Yes,automated tests,sophisticated test methods,KPIs,,,,extremely important,very,extremely important,,,,Yes,,Yes,,Yes,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,,very good,good,good,,,,,2,,very good,good,good,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,0,good,very good,very good,not applicable,,,,,3,,,,,,,,,extremely important,very,very,extremely important,moderately,moderately,very,extremely important,moderately,moderately,moderately,male,High school degree or equivalent,,Yes,No,No,No,,,,,500.0,,anonymized
26,1980-01-01 00:00:00,24,en,1911143154.0,Yes,null checking,meaningful (non-trivial) assertions,meaningful test names (x_equals_y_when_f_called_pass),should only exercise one requirement,kept up to date as code evolves,,very,extremely important,extremely important,very,very,,Yes,manually,Yes,manually (reading tests),Yes,manually (reading tests),,,No,,,,,0,good,not applicable,very good,very poor,very poor,not applicable,,,2,very good,very good,very good,very good,very good,not applicable,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,good,not applicable,very good,very good,very good,not applicable,,,3,,,,,,,,,moderately,extremely important,moderately,very,I do not know,moderately,extremely important,not at all important,very,moderately,not at all important,male,Bachelor´s degree,,No,No,Yes,No,,20.0,Engineer,3000+,30.0,,anonymized
27,1980-01-01 00:00:00,24,en,383804010.0,No,Very few lines of code (<10),A couple of assertions (1-3),Good fixture data setup outside of the test (if needed),,,,extremely important,extremely important,very,,,,Yes,"Linting tools measure number of lines per function. In this case, point it to the unit test cases",No,,No,,,,,,,,,3,,,,,,,,,2,very good,very good,very good,very good,,,,,3,,,,,,,,,0,very poor,very poor,very poor,very poor,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,fair,fair,fair,fair,,,,,extremely important,extremely important,extremely important,extremely important,extremely important,extremely important,extremely important,not at all important,extremely important,extremely important,extremely important,Male,Master´s degree,,No,No,Yes,No,,7.0,Software Engineer,5,1.0,,anonymized
31,1980-01-01 00:00:00,24,en,1703895164.0,Yes,"No interactions with the outside world (filesystem, sockets, other processes)",Test one logical statement tied to business value (there may be multiple assertXXX calls to do this),"Be treated as a first-class citizen in the codebase just as production code, with respect to code quality","Have as few lines of code as possible, ideally three (""arrange / act / assert"")",Completely independent from other unit tests,"Asserting on a return value, not on a test object's internal state or implementation details",extremely important,very,very,very,extremely important,very,Yes,Run tests in a sandbox environment; code review.,Yes,Code review,Yes,Code review,Yes,Code review,Yes,Code review,Yes,Code review,,0,good,very good,very good,good,poor,very good,very good,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,good,very good,very good,good,good,very good,very good,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,fair,very good,fair,good,poor,poor,very good,,3,,,,,,,,,extremely important,extremely important,very,very,extremely important,extremely important,moderately,moderately,moderately,very,extremely important,unspecified,Other,,No,No,Yes,No,,28.0,Technical team lead,8,1.0,"I enjoyed the survey and I think it's well-designed, better than multiple-choice or true/false questions. It would be interesting I think to add a question or two around whether or not (and why) respondents are writing unit tests regularly in their project. Good luck with your thesis, and I hope you are able to publish the results to the r/softwaretesting sub.",anonymized
33,1980-01-01 00:00:00,24,en,1304798076.0,No,should have the same quality charactistics as production code.,should run fast.,should be fast to write (e.g. setup).,should always give the same result (avoid flakiness).,,,extremely important,very,very,very,,,Yes,"static code analysis (checkstyle, SonarQube / ESLint)
(code reviews)",No,,,,No,,,,,,,1,poor,poor,not applicable,not applicable,not applicable,,,,3,,,,,,,,,2,,poor,not applicable,not applicable,not applicable,,,,0,poor,poor,not applicable,not applicable,not applicable,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,very,very,moderately,very,moderately,very,very,moderately,very,very,very,,,,No,No,No,No,,,,,,,anonymized
43,1980-01-01 00:00:00,24,en,2109889021.0,Yes,specific,unambiguous,fast,,,,extremely important,very,moderately,,,,No,,,,No,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,very poor,very poor,poor,not applicable,,,,,3,,,,,,,,,3,,,,,,,,,1,poor,good,poor,not applicable,,,,,0,fair,poor,very poor,not applicable,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,very,moderately,extremely important,extremely important,extremely important,moderately,slightly,slightly,extremely important,moderately,extremely important,Male,Doctorate,,No,Yes,No,No,,,,,5.0,,anonymized
52,1980-01-01 00:00:00,24,en,541203166.0,Yes,Simplicity/easy to understand,Focus on one assumption per test,Stable,No dependencies to other components,,,extremely important,moderately,very,very,,,No,,No,,Yes,"Failing tests in builds get recorded, so flaky tests are those that break most often",No,,,,,,,1,poor,very poor,poor,not applicable,very good,,,,0,good,fair,very good,not applicable,very good,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,fair,good,poor,not applicable,very good,,,,3,,,,,,,,,3,,,,,,,,,extremely important,very,very,extremely important,moderately,slightly,moderately,not at all important,very,moderately,slightly,Male,Master´s degree,,No,No,Yes,No,,7.0,Developer,16,1.0,"When I joined my current company I found many unit tests that connected to the actual dev db and were only executable when in the company network.

",anonymized
60,1980-01-01 00:00:00,24,en,31593869.0,Yes,short/concise,well readable,maintainable,isolated,deterministic,at least a high coverage,very,extremely important,extremely important,extremely important,extremely important,very,Yes,"code review (eyes),  no complex test methods",Yes,"code review: test methods should have a descriptive name, no complexity and should be separated in setup/execution/assertion",Yes,"regression, time it takes to adapt the tests",No,,Yes,"Jenkins pipeline, automated tests",Yes,line and branch coverage,,3,,,,,,,,,0,fair,very good,poor,poor,poor,very good,good,,3,,,,,,,,,3,,,,,,,,,2,fair,fair,poor,poor,very good,very good,very poor,,3,,,,,,,,,3,,,,,,,,,1,very poor,very poor,very poor,very poor,poor,very good,very poor,,3,,,,,,,,,3,,,,,,,,,extremely important,extremely important,extremely important,very,extremely important,not at all important,very,slightly,extremely important,slightly,extremely important,male,Master´s degree,,No,No,Yes,No,,6.0,Software Engineer,8,2.0,"No, thank you",anonymized
64,1980-01-01 00:00:00,24,en,1457834641.0,Yes,targeted,isolated,understandable,covering the most prevalent edge cases,fast,reliable,very,extremely important,extremely important,very,extremely important,extremely important,No,,No,,Yes,Code Review,Yes,Comparison with test suite,Yes,Jenkins jobs build time,No,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,0,fair,very poor,poor,very good,very good,good,good,,1,good,very good,very good,good,fair,very good,very good,,3,,,,,,,,,2,very poor,good,good,very poor,very poor,very good,fair,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,very,very,extremely important,very,extremely important,not at all important,I do not know,not at all important,extremely important,I do not know,very,male,High school degree or equivalent,,Yes,No,No,No,,,,,20.0,,anonymized
68,1980-01-01 00:00:00,24,en,1276435933.0,Yes,testing one thing at a time,descriptive naming,clear setup,isolated,fast,,extremely important,extremely important,very,extremely important,extremely important,,Yes,manual control,Yes,manual control,,,Yes,manual control,Yes,maven lifecycle,,,,1,very poor,very poor,very poor,poor,fair,poor,,,3,,,,,,,,,3,,,,,,,,,2,very poor,very poor,poor,very poor,fair,fair,,,0,very poor,very poor,very poor,poor,fair,very good,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,very,extremely important,extremely important,slightly,extremely important,slightly,I do not know,not at all important,extremely important,slightly,extremely important,male,Master´s degree,,No,No,Yes,No,,17.0,"Software Engineer, Technical Lead",12,10.0,-,anonymized
70,1980-01-01 00:00:00,24,en,341956798.0,Yes,"tests for unexpected, as well as expected inputs",good code/path coverage,easily reproduced,,,,extremely important,extremely important,very,,,,No,,,,No,,,,,,,,,1,not applicable,not applicable,not applicable,not applicable,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,2,not applicable,not applicable,not applicable,not applicable,,,,,3,,,,,,,,,3,,,,,,,,,0,not applicable,not applicable,not applicable,not applicable,,,,,3,,,,,,,,,very,very,very,not at all important,moderately,moderately,I do not know,not at all important,slightly,very,not at all important,"the behavioral, cultural, or psychological traits typically associated with one's sex",Doctorate,,No,No,Yes,No,,645.0,,,4000.0,,anonymized
71,1980-01-01 00:00:00,24,en,706843893.0,Yes,Thorough,Repeatable,Cover all possible scenarios,Self-Describing,Descriptive messages,Use attributes,extremely important,extremely important,very,very,extremely important,extremely important,Yes,"Should test all possible areas of functionality subject to failure based on incorrect input/validation, checks/boundary checks and so on for each function/method.",Yes,"Every build must produce the same results, period.",Yes,"Look for high code coverage, ensure good quality metrics, exercise all possible use case scenarios to test the input validations, interactions, errors messages, edge cases and exceptions, etc. ",No,,Yes,Just keeping names consistent across the board,Yes,Self-explaining. ,,3,,,,,,,,,0,fair,fair,good,fair,fair,good,good,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,1,fair,fair,good,fair,good,good,good,,2,fair,good,good,fair,good,good,good,,3,,,,,,,,,3,,,,,,,,,very,moderately,moderately,very,very,very,moderately,moderately,,moderately,very,Male,Bachelor´s degree,,No,Yes,No,No,,,,,23.0,,anonymized
72,1980-01-01 00:00:00,24,en,546116294.0,Yes,Test system behavior and not implementation details,Should not aim for test coverage but to express behavior of the subject in test.,Should document reasons,Should be as close as possible to reality. Avoid mocking if possible.,Should build the testing context with the system components instead of fixtures,,extremely important,extremely important,very,very,very,,Yes,"Thought using the driver/navigator setup. I first describe the specification of the code as a navigator to keep high level goals clean and defined, then I switch for the easier role by driving the implementation. The mental model limitations of a human brain cause problem if the two role mixed at the same time.",Yes,By testing each behavior edge case,Yes,I create a unit test that can write out software documentation in both high and low level.,Yes,,Yes,"With nested tests like rspec, rtl, Jasmine and so on. And I use already texted system components to setup the testing context",,,,3,,,,,,,,,3,,,,,,,,,1,fair,fair,fair,very poor,fair,not applicable,,,3,,,,,,,,,2,fair,fair,poor,fair,good,not applicable,,,3,,,,,,,,,0,poor,good,very poor,poor,not applicable,not applicable,,,3,,,,,,,,,3,,,,,,,,,3,,,,,,,,,very,extremely important,extremely important,extremely important,very,I do not know,extremely important,extremely important,slightly,extremely important,extremely important,Mr,Other,,No,No,Yes,No,,10.0,Software Engineer,7,0.0,,anonymized
