assertion_roulette,no_assertions,readability,cbo,wmc,rfc,nosi,loc,line_coverage,mutation_score,assertion_density,HALSTEAD,MPC,loc_production,experience,score
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,9.0,1
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,6.0,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,20.0,4
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,28.0,4
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,7.0,2
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,17.0,1
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,20.0,2
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,3.0,1
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,10.0,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,25.0,2
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,20.0,2
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,1.5,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,2.0,2
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,1.0,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,6.0,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,3.0,1
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,8.0,4
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,4.0,3
False,35,0.0002841546665877103,3,9,21,31,83,0.78,0.83,0.42168674698795183,553.1696331902008,18,134,20.0,1
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,9.0,2
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,20.0,5
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,7.0,5
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,7.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,6.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,22.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,5.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,2.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,10.0,2
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,1.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,15.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,3.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,25.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,2.0,5
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,6.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,5.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,4.0,3
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,8.0,5
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,7.0,4
False,1,0.9186395406723022,2,1,2,1,6,0.16,0.11,0.16666666666666666,112.83600347080687,2,59,2.0,5
True,17,0.8797175288200378,2,1,3,18,22,0.02,0.02,0.7727272727272727,101.63333397932176,3,2822,6.0,1
